time (EST),btc,dot,eth,matic,sol,uni
2022-01-01 00:00:00,46765.91,26.98,3713.35,2.5536,171.65,17.22
2022-01-01 12:00:00,47270.27,27.52,3729.73,2.534,173.73,17.14
2022-01-02 00:00:00,46884.19,28.1,3726.49,2.5195,176.03,17.14
2022-01-02 12:00:00,47560.15,30.31,3821.67,2.5589,177.78,17.99
2022-01-03 00:00:00,46780.61,28.78,3793.49,2.4843,172.25,18.39
2022-01-03 12:00:00,46443.34,29.66,3747.56,2.445,170.17,18.21
2022-01-04 00:00:00,46137.59,29.89,3735.2,2.394,167.43,17.79
2022-01-04 12:00:00,46800.78,29.91,3851.47,2.4903,171.01,18.82
2022-01-05 00:00:00,46309.01,29.37,3801.24,2.4058,168.34,18.45
2022-01-05 12:00:00,46358.22,29.69,3799.65,2.3715,167.69,19.38
2022-01-06 00:00:00,43132.13,26.12,3465.98,2.1596,149.84,16.83
2022-01-06 12:00:00,42842.05,26.19,3401.86,2.1965,150.81,16.73
2022-01-07 00:00:00,41718.71,25.08,3228.92,2.1259,139.85,15.79
2022-01-07 12:00:00,41993.69,25.8,3200.93,2.1242,138.77,16.05
2022-01-08 00:00:00,41918.72,25.4,3215.4,2.1061,141.12,16.07
2022-01-08 12:00:00,41166.8,24.17,3114.73,1.9762,139.16,15.29
2022-01-09 00:00:00,42001.3,24.28,3141.32,2.0428,143.21,15.33
2022-01-09 12:00:00,41997.68,24.96,3152.21,2.0608,142.59,16.03
2022-01-10 00:00:00,42132.1,25.03,3170.46,2.1391,142.48,15.92
2022-01-10 12:00:00,41679.38,23.57,3060.05,2.037,135.45,15.33
2022-01-11 00:00:00,42217.69,23.97,3111.27,2.1488,135.95,15.47
2022-01-11 12:00:00,43017.03,25.95,3261.84,2.3426,142.56,16.22
2022-01-12 00:00:00,42709.84,25.82,3231.23,2.3256,140.22,16.19
2022-01-12 12:00:00,43576.74,27.27,3366.05,2.3319,150.79,16.49
2022-01-13 00:00:00,43610.59,26.69,3326.51,2.3455,148.88,15.93
2022-01-13 12:00:00,42907.65,26.23,3276.2,2.2906,151.26,15.78
2022-01-14 00:00:00,42762.97,27.13,3278.0,2.2761,147.92,15.83
2022-01-14 12:00:00,43125.93,27.15,3291.64,2.3018,147.26,15.6
2022-01-15 00:00:00,42895.66,27.15,3302.58,2.339,145.36,15.92
2022-01-15 12:00:00,43305.44,27.76,3352.43,2.3847,148.24,16.48
2022-01-16 00:00:00,43105.01,27.99,3323.61,2.3273,147.63,16.54
2022-01-16 12:00:00,43357.83,28.14,3371.45,2.357,150.64,17.59
2022-01-17 00:00:00,42415.08,26.44,3244.76,2.3624,142.26,17.03
2022-01-17 12:00:00,42106.43,25.63,3211.56,2.2263,139.62,16.43
2022-01-18 00:00:00,42193.6,25.38,3182.48,2.2053,139.23,16.72
2022-01-18 12:00:00,41623.53,24.71,3120.28,2.1198,137.11,15.85
2022-01-19 00:00:00,41800.67,24.7,3109.95,2.0836,139.07,15.83
2022-01-19 12:00:00,42355.74,24.42,3141.99,2.1107,137.99,15.65
2022-01-20 00:00:00,41899.72,24.6,3125.59,2.0614,136.91,15.38
2022-01-20 12:00:00,43201.78,25.33,3245.29,2.1636,142.53,16.02
2022-01-21 00:00:00,38808.36,22.23,2857.92,1.9081,125.96,14.08
2022-01-21 12:00:00,38452.04,21.87,2787.04,1.8597,129.35,13.91
2022-01-22 00:00:00,36320.52,19.11,2557.27,1.7039,109.97,12.32
2022-01-22 12:00:00,34858.36,17.89,2413.98,1.5112,93.8,11.22
2022-01-23 00:00:00,35011.41,17.98,2414.92,1.5349,93.91,11.18
2022-01-23 12:00:00,35341.51,18.26,2441.02,1.5926,98.62,11.28
2022-01-24 00:00:00,35086.41,17.53,2429.71,1.486,89.5,10.66
2022-01-24 12:00:00,34306.89,16.81,2231.89,1.3652,84.85,9.91
2022-01-25 00:00:00,36099.03,17.66,2390.8,1.4354,88.53,10.53
2022-01-25 12:00:00,37240.92,18.72,2452.56,1.4989,94.51,10.69
